CODE;TITRE;DEBUT DE VALIDITE;FIN DE VALIDITE;UTILISATION;UTILISATION PAR CLIENT;POURCENTAGE REMISE %;VALABLE SUR PAYS;TYPE DE FORFAIT
1OZDXK1;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1P05IIX;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1PDH2WD;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1PTON1E;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1PWGVQJ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1PZJ0U3;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1QE79MM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1QWB3SR;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1R2GDO0;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1R33A0D;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1R60STY;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1RBO2FG;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1RC6EMO;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1RGI9T8;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1RPA0DD;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1SNZXJE;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1SULFXM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1T45ED9;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1T96XKN;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1TGLJU1;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1TH5M67;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1TJPO1H;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1TKAZVE;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1TRQO7Z;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1U1NSYZ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1U6WYHM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1UIJR8B;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1UKW6QS;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1UZ399A;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1VFK78D;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
